"roaming_partner","Month","Symbol","Customer","Country","Value","Comment","KPI Count","KPIname","Aggr. type"
"CD.TIGO","06/01/2018","M2M AVA DAT CON","Customer B M2M","Congo","84.85671557562078","-","8860.0","Availability of Data connections","Average"
"CD.TIGO","06/01/2018","M2M CAL COM RAT VOI","Customer B M2M","Congo","100.0","-","6.0","Call completion rate voice","default avg"
"CD.TIGO","06/01/2018","M2M CAL DRO RAT VOI","Customer B M2M","Congo","0.0","-","6.0","Call drop rate voice","default avg"
"CD.TIGO","06/01/2018","M2M LAT MOD BAC: 3G","Customer B M2M","Congo","241.7","-","529.0","Latency between car telematics module and Customer B backend (3G)","default avg"
"CD.TIGO","06/01/2018","M2M LAT MOD BAC: LTE","Customer B M2M","Congo","96.7","-","2409.0","Latency between car telematics module and Customer B backend (LTE)","default avg"
"CD.TIGO","06/01/2018","M2M SER DWN DUR","Customer B M2M","Congo","94.96402877697842","-","139.0","Network KPI-Intern. Mobile Network Availability-AT WBC","Average"
"CD.TIGO","06/01/2018","M2M SMS DEL TIM","Customer B M2M","Congo","6.0","-","3112.0","SMS_delivery_time","default avg"
"CD.TIGO","06/01/2018","M2M SMS SUC RAT","Customer B M2M","Congo","96.87","-","3128.0","SMS_success_Rate_MT","default avg"
"CD.TIGO","06/01/2018","M2M TRA SPL: 2G","Customer B M2M","Congo","1.2060860272508682","-","3743.0","Traffic split according to radio access technology (2G)","Average"
"CD.TIGO","06/01/2018","M2M TRA SPL: 3G","Customer B M2M","Congo","18.859917178733635","-","3743.0","Traffic split according to radio access technology (3G)","Average"
"CD.TIGO","06/01/2018","M2M TRA SPL: LTE","Customer B M2M","Congo","79.9339967940155","-","3743.0","Traffic split according to radio access technology (4G)","Average"
"CD.TIGO","06/01/2018","M2M AVA DAT CON","Customer B M2M","Congo","0.0","-","498.0","Availability of Data connections","Average"
"CD.TIGO","06/01/2018","M2M TRA SPL: 2G","Customer B M2M","Congo","0.0","-","115.0","Traffic split according to radio access technology (2G)","Average"
"CD.TIGO","06/01/2018","M2M TRA SPL: 3G","Customer B M2M","Congo","24.35","-","115.0","Traffic split according to radio access technology (3G)","Average"
"CD.TIGO","06/01/2018","M2M TRA SPL: LTE","Customer B M2M","Congo","75.65","-","115.0","Traffic split according to radio access technology (4G)","Average"
"CV.T+","06/01/2018","M2M AVA DAT CON","Customer B M2M","Cape Verde","97.26852530105447","-","384648.0","Availability of Data connections","Average"
"CV.T+","06/01/2018","M2M CAL COM RAT VOI","Customer B M2M","Cape Verde","1604.8995555555557","-","9.0","M2M-Average data speed downlink_3G","Average"
"CV.T+","06/01/2018","M2M CAL DRO RAT VOI","Customer B M2M","Cape Verde","2505.1760000000004","-","5.0","M2M-Average data speed downlink_4G","Average"
"CV.T+","06/01/2018","M2M LAT MOD BAC: 3G","Customer B M2M","Cape Verde","20.444","-","2.0","M2M-Average data speed uplink_2G","Average"
"CV.T+","06/01/2018","M2M LAT MOD BAC: LTE","Customer B M2M","Cape Verde","187.756","-","4.0","M2M-Average data speed uplink_3G","Average"
"CV.T+","06/01/2018","M2M SER DWN DUR","Customer B M2M","Cape Verde","466.93142857142857","-","7.0","M2M-Average data speed uplink_4G","Average"
